"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_banner_url","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","has_extended_profile","default_profile","default_profile_image","following","follow_request_sent","notifications","translator_type"
"x175102903","Google Small Business","GoogleSmallBiz","","We provide #smallbiz owners with tips, tools & resources to grow their businesses online. For support with reviews & your Business Profile, contact @GoogleMyBiz","https://t.co/NztVdP24hz",FALSE,159808,358,2526,2010-08-05 17:03:02,4444,,,FALSE,TRUE,6909,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/875749462957670400/T0lwiBK8_normal.jpg","https://pbs.twimg.com/profile_images/875749462957670400/T0lwiBK8_normal.jpg","https://pbs.twimg.com/profile_banners/175102903/1607461757","0084B4","C0DEED","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x168264219","Google Nest","googlenest","Home","Here for a more helpful <U+0001F3E0>. 
Find your helpful device <U+0001F449> https://t.co/WUgTNQ1ppZ","https://t.co/WUgTNQ1ppZ",FALSE,214630,8,2560,2010-07-18 21:45:03,27439,,,FALSE,TRUE,169203,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1125825862828347392/2et5ZEz3_normal.png","https://pbs.twimg.com/profile_images/1125825862828347392/2et5ZEz3_normal.png","https://pbs.twimg.com/profile_banners/168264219/1606897671","00AFD8","FFFFFF","FFFFFF","7B858E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x163975783","Experiments with Google","ExpWithGoogle","Google, Inc.","Awesome experiments coders are making with Chrome, AR, Android, WebVR, AI, and more, featured by Google.","https://t.co/WLXBNEEIDU",FALSE,20739,13,828,2010-07-07 18:50:14,110,,,FALSE,FALSE,1493,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/925753486628732928/51RE3-8b_normal.jpg","https://pbs.twimg.com/profile_images/925753486628732928/51RE3-8b_normal.jpg","https://pbs.twimg.com/profile_banners/163975783/1399507575","F15416","FFFFFF","F5F5F5","000000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x113713261","Chrome Developers","ChromiumDev","Mountain View, CA","News & guidance for developers from the Google Chrome Developer Relations team.","https://t.co/b9JgHDUd68",FALSE,341577,70,5423,2010-02-12 19:48:38,1428,,,FALSE,TRUE,8742,,FALSE,FALSE,FALSE,"ECF0F5","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1316430904806440960/i47iiwIk_normal.jpg","https://pbs.twimg.com/profile_images/1316430904806440960/i47iiwIk_normal.jpg","https://pbs.twimg.com/profile_banners/113713261/1607631339","2A4C8A","FFFFFF","AAB7D0","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x111197966","Google Workspace Developers","workspacedevs","","Official Google Workspace Developer feed.",,FALSE,322839,45,2699,2010-02-04 03:22:30,31,,,FALSE,TRUE,702,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1313391216726163461/Z1ew7zfp_normal.jpg","https://pbs.twimg.com/profile_images/1313391216726163461/Z1ew7zfp_normal.jpg","https://pbs.twimg.com/profile_banners/111197966/1601971842","0084B4","C0DEED","FFFFFF","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x93711247","Android Developers","AndroidDev","Mountain View, CA","News and announcements for developers from the Android team // https://t.co/oFLh2KzaS8","https://t.co/5irDKaM7FE",FALSE,2044978,328,15900,2009-11-30 20:54:18,1409,,,FALSE,TRUE,4358,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1168932726461935621/VRtfrDXq_normal.png","https://pbs.twimg.com/profile_images/1168932726461935621/VRtfrDXq_normal.png","https://pbs.twimg.com/profile_banners/93711247/1609202147","8BC34A","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x91220126","Google Ads","GoogleAds","","The official channel for info & updates from the Google Ads team. For help, check out https://t.co/nsf9fWGKPh",,FALSE,596689,38,6760,2009-11-19 23:30:48,126,,,FALSE,TRUE,51447,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1021822138964004865/UimQskO__normal.jpg","https://pbs.twimg.com/profile_images/1021822138964004865/UimQskO__normal.jpg","https://pbs.twimg.com/profile_banners/91220126/1532464029","0000CC","FFFFFF","EBEFF9","000000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x80663030","Google Marketing Platform","GMktgPlatform","","Plan, buy, measure, and optimize digital media and customer experiences in one place with Google Marketing Platform","https://t.co/d577dT0OeA",FALSE,88954,484,1838,2009-10-07 19:46:40,342,,,TRUE,TRUE,2903,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1021749801858125826/MtGwGGYC_normal.jpg","https://pbs.twimg.com/profile_images/1021749801858125826/MtGwGGYC_normal.jpg","https://pbs.twimg.com/profile_banners/80663030/1561666831","1B95E0","C0DEED","BDE8EC","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x56505125","Chrome","googlechrome","Mountain View, California","The official Twitter account for the Google Chrome browser.","http://t.co/oQ8wOFCb4x",FALSE,6685677,106,17162,2009-07-13 21:51:56,240,,,FALSE,TRUE,107041,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1037025533182193664/aCWlGSZF_normal.jpg","https://pbs.twimg.com/profile_images/1037025533182193664/aCWlGSZF_normal.jpg","https://pbs.twimg.com/profile_banners/56505125/1567177232","0084B4","C0DEED","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x51263711","Google Analytics","googleanalytics","Most places","Get the latest news and product updates on Google Analytics, Data Studio, Optimize, Surveys, and Tag Manager. Learn more at https://t.co/d577dT0OeA","https://t.co/d577dT0OeA",FALSE,1145927,404,18627,2009-06-26 22:55:52,6624,,,FALSE,TRUE,11732,,FALSE,FALSE,FALSE,"DEDEDE","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1021848775885651968/cU74ahCn_normal.jpg","https://pbs.twimg.com/profile_images/1021848775885651968/cU74ahCn_normal.jpg","https://pbs.twimg.com/profile_banners/51263711/1532462694","0084B4","FFFFFF","DDFFCC","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
